"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\AddCompanyTeamUsersAgGridProps.ts", "TypeScript", 1, 0, 0, 2, 3
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyTeamUsersAgGridProps.ts", "TypeScript", 12, 0, 0, 1, 13
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyProductTeamsAgGrid.tsx", "TypeScript JSX", 0, 1, 1, 0, 2
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyTeamUsersAgGrid.tsx", "TypeScript JSX", 0, -354, -9, -46, -409
"d:\CRM Purple\React\purple-crm-react\src\components\lists\CompanyUsersList.tsx", "TypeScript JSX", 0, 0, 0, 2, 2
"d:\CRM Purple\React\purple-crm-react\src\components\lists\TeamManagementList.tsx", "TypeScript JSX", 0, 3, -1, 0, 2
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-team\CompanyProductTeamsModal.tsx", "TypeScript JSX", 0, -10, 0, 0, -10
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-user\CompanyProductUsersModal.tsx", "TypeScript JSX", 0, 249, 15, 16, 280
"d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\EditCompanyTeamModal.tsx", "TypeScript JSX", 0, 255, 8, 10, 273
"d:\CRM Purple\React\purple-crm-react\src\config\validations\RefreshToken.ts", "TypeScript", 1, 0, 0, 0, 1
"Total", "-", 14, 144, 14, -15, 157